source,target
0,9
0,12
0,14
0,16
0,19
0,27
0,11
0,3
0,22
0,2
0,7
0,21
0,15
0,23
0,32
0,36
0,5
0,29
0,38
0,17
0,34
0,25
1,6
1,38
1,17
1,14
1,21
1,19
1,11
1,4
1,35
1,3
1,39
1,12
1,2
1,7
1,15
1,22
1,23
1,5
1,8
1,13
1,34
1,25
1,27
1,31
1,33
2,6
2,9
2,17
2,12
2,14
2,16
2,23
2,19
2,27
2,11
2,36
2,35
2,3
2,7
2,21
2,15
2,33
2,32
2,5
2,29
2,38
2,13
2,34
2,30
2,31
3,6
3,9
3,36
3,17
3,14
3,21
3,16
3,19
3,25
3,11
3,15
3,4
3,7
3,22
3,33
3,8
3,34
3,31
4,6
4,9
4,38
4,17
4,14
4,19
4,28
4,11
4,36
4,35
4,12
4,7
4,22
4,33
4,5
4,29
4,13
4,15
4,34
4,27
4,8
5,6
5,38
5,27
5,33
5,29
5,34
5,25
5,12
5,21
5,16
5,35
5,7
5,17
5,9
5,28
5,31
5,36
5,14
5,19
5,11
5,24
5,22
5,15
5,23
5,32
5,8
6,38
6,20
6,29
6,34
6,25
6,12
6,21
6,16
6,30
6,35
6,10
6,7
6,27
6,17
6,31
6,18
6,9
6,26
6,36
6,19
6,28
6,11
6,24
6,22
6,15
6,23
6,32
6,8
6,33
7,38
7,17
7,14
7,21
7,16
7,19
7,11
7,36
7,35
7,22
7,24
7,15
7,20
7,23
7,32
7,29
7,30
7,27
7,25
7,26
7,12
7,31
8,13
8,12
8,23
8,19
8,36
8,35
8,22
8,17
8,29
8,15
8,27
8,31
8,38
9,33
9,34
9,25
9,12
9,21
9,16
9,13
9,17
9,36
9,14
9,19
9,11
9,22
9,23
9,32
10,38
10,21
10,16
10,24
10,39
10,28
10,29
10,25
10,12
10,33
11,38
11,17
11,33
11,29
11,34
11,25
11,12
11,21
11,16
11,35
11,13
11,28
11,31
11,36
11,14
11,19
11,24
11,22
11,15
11,23
11,32
11,27
22,38
22,13
22,36
22,12
22,14
22,19
22,35
22,28
22,15
22,23
22,20
22,33
22,27
22,29
22,17
22,34
22,31
12,32
12,36
12,14
12,19
12,30
12,24
12,39
12,23
12,33
12,27
12,31
12,34
12,35
12,13
12,15
12,17
12,25
13,14
13,21
13,16
13,23
13,36
13,35
13,28
13,15
13,24
13,17
13,32
13,33
13,29
13,27
13,25
13,31
13,38
14,21
14,27
14,30
14,16
14,24
14,35
14,23
14,32
14,33
14,36
14,29
14,15
14,17
14,34
14,25
14,31
14,38
15,27
15,20
15,34
15,25
15,21
15,16
15,35
15,17
15,18
15,30
15,39
15,28
15,31
15,36
15,19
15,23
15,33
16,21
16,23
16,19
16,27
16,35
16,28
16,32
16,36
16,29
16,17
16,25
16,31
16,38
17,21
17,23
17,19
17,27
17,36
17,35
17,28
17,32
17,33
17,29
17,38
17,34
17,25
17,31
18,38
18,19
18,24
18,35
18,39
18,28
18,20
18,29
18,30
18,25
18,26
18,31
18,33
19,29
19,38
19,21
19,23
19,30
19,24
19,35
19,28
19,20
19,33
19,36
19,34
19,27
19,25
19,31
19,26
20,38
20,39
20,28
20,33
20,29
20,34
20,25
20,26
21,38
21,27
21,24
21,35
21,23
21,32
21,33
21,37
21,29
21,34
21,25
21,31
23,35
23,39
23,33
23,27
23,34
23,25
23,31
25,38
25,36
25,30
25,24
25,35
25,39
25,28
25,32
25,29
25,34
25,27
25,26
25,31
25,33
30,24
30,39
30,28
30,29
30,26
30,34
30,31
30,33
26,39
26,28
26,31
26,33
27,39
27,33
27,35
27,34
27,31
28,34
28,38
28,29
28,39
28,31
28,36
28,24
28,33
29,34
29,35
29,39
29,24
29,33
29,31
31,34
31,38
31,33
31,35
31,39
31,36
32,33
32,36
32,34
33,38
33,34
33,35
33,36
33,24
34,38
34,36
34,24
34,35
35,38
35,39
35,36
24,38
24,39
38,39
